site,Nematomorpha,Nemertea,Salifidae,Glossiphoniidae,Naididae,Oligiochaeta,Arachnid,Styloniscidae,Copepoda,Acari,Cladocera,Collembola,Elmidae,Hydrophilidae,Ptilodactylidae ,Chironomidae,Culicidae,Dixid,Ephydridae,Limoniidae,Muscidae,Psychodidae,Simuliidae,Tabanidae,Tanyderidae,Tipulidae,Coloburiscidae,Leptophlebiidae,Corixidae,Mesoveliidae,Notonectidae,Veliidae,Corydalidae,Coenagrionidae,Corduliidae,Lestidae,Gripopterygidae,Conoesucidae,Hydrobiosidae,Hydropsychidae,Hydroptilidae,Leptoceridae,Oeconesidae,Polycentropodidae,Amphipod,Parastacidae,Ostracoda,shaeriidae,Lymnaeidae,Physidae,Planorboidae,Latiidae,Hydrobiidae,Dalyellidae, Dugesiidae,Terestrial
F01,0,0,0,2,3,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,5,1,0,0,0,0,19,0,0,0,0,0,0,17,0,0,0,1510,0,74,123,0,57,10,0,8000,0,90,6
F02,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,224,0,0,0,0,27,0,6,0,0,0,22,0,0,0,0,0,0,11,0,0,1,825,0,0,6,0,7,2,0,2784,0,15,0
F03,0,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,12,91,1,0,921,0,2,2
F04,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,7,0,0,101,0,5,1
F05,0,3,0,0,0,21,0,0,0,0,0,0,0,2,0,3,6,0,0,6,0,1,0,0,0,0,0,0,0,13,2,6,0,5,0,0,0,0,0,0,2,1,0,0,279,0,114,1,0,44,0,0,152,0,2,6
F06,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,97,0,2,0
F07,0,0,0,1,0,166,0,0,0,0,0,0,0,1,0,8,31,0,0,32,0,0,0,0,0,0,0,0,8,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,67,0,3,13,9,0,54,0,1,0
F08,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,10,0,8,2,0,109,0,0,0
F09,0,1,0,0,0,32,0,0,0,0,0,0,486,0,0,9,0,1,0,1,0,0,11,0,0,0,0,120,9,1,0,0,12,1,0,0,1,24,8,9,0,39,0,0,23,0,8,1,0,0,12,8,370,0,4,1
F10,0,1,0,1,0,31,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,28,0,0,0,0,0,11,10,0,24,0,0,137,0,24,4
F11,0,0,0,1,0,34,1,0,0,0,0,0,0,0,0,0,28,0,0,28,0,0,0,0,0,0,0,0,0,1,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,1,4
F12,0,0,0,0,1,92,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,42,9,0,11,3,0,164,0,4,0
F13,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,11,0,49,1,0,98,0,3,2
F14,0,0,0,3,0,87,3,0,0,0,0,0,0,0,0,40,2,20,0,22,0,0,2,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,2,476,1,0,9,0,0,0,0,50,0,0,0
F15,0,0,0,1,1,44,0,0,0,0,0,0,181,0,0,158,7,0,0,7,1,0,5,0,0,0,14,45,0,0,0,6,6,0,0,0,0,30,7,173,331,22,0,1,128,0,0,0,0,11,23,11,454,2,9,2
F16,0,0,0,1,0,10,0,0,14,0,1700,0,0,1,0,52,2,13,0,15,0,0,0,0,0,0,0,10,0,0,0,10,0,105,0,0,0,0,0,0,2,8,0,20,1170,0,950,11,0,76,1,0,1240,0,2,0
F17,0,0,0,1,0,25,2,0,0,1,516,0,0,0,0,168,3,20,0,23,0,0,0,0,0,0,0,12,0,1,0,6,0,116,0,0,0,0,0,0,0,1,0,24,1652,0,262,3,0,85,0,0,1088,6,4,6
F18,0,1,0,1,0,36,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,171,0,18,2,0,67,1,0,821,0,22,0
F19,0,0,0,4,0,120,0,0,0,0,2,0,0,2,0,11,37,0,0,37,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,358,12,0,4,0,0,444,0,30,5
F20,0,0,0,0,0,69,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,2,0,0,0,0,0,0,4,0,0,0,1,0,3,4,4,10,1,0,544,0,3,0
F21,0,0,0,0,0,84,1,0,0,0,0,0,0,0,0,115,1,15,0,17,0,0,0,0,1,0,0,115,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,12,129,0,1,5,0,0,5,0,23,3,0,1
F22,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,18,0,2,1,4,0,0,6,0,0,0,0,24,0,0,0,8,0,0,0,0,0,5,0,6,0,2,3,0,105,0,0,6,0,2,0,0,435,1,3,2
F23,0,1,0,31,0,70,0,0,0,0,0,0,253,0,0,3,0,1,0,3,0,0,20,0,0,0,0,86,0,1,0,0,0,0,0,0,0,3,3,2,0,5,1,0,28,0,65,0,0,1,0,0,1367,0,63,0
F24,1,0,0,0,0,32,1,0,0,0,0,0,1,0,0,67,1,4,0,5,0,0,0,0,0,0,0,78,0,0,0,4,3,0,4,0,1,5,4,15,0,7,0,10,11,0,4,0,0,0,11,0,30,0,1,1
F25,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,47,3,6,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,1,154,1,0,0,0,0,7,0,50,0,0,0
F26,0,0,0,0,0,58,3,0,0,1,0,0,23,0,0,56,3,6,0,9,0,0,53,1,0,1,4,25,0,4,0,0,20,0,4,1,0,6,3,3,4,47,2,0,413,0,9,1,0,12,30,9,394,0,12,6
F27,0,0,0,1,0,54,6,0,0,0,0,0,50,0,1,87,5,20,0,28,1,0,10,0,0,0,0,119,7,0,0,0,6,0,6,0,0,2,16,1,12,8,1,2,1109,0,36,5,0,1,6,0,890,0,7,7
F28,0,1,0,1,0,48,0,0,0,0,0,0,3,0,0,21,0,17,0,17,0,0,2,0,0,0,0,0,6,0,0,0,0,3,0,0,0,1,1,0,22,30,1,7,116,0,274,1,0,28,0,0,0,0,22,0
F29,0,2,0,0,0,150,0,0,0,0,0,1,0,0,0,15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,1,1,0,0,3,154,0,652,0,0,14,0,0,4,0,284,0
